Diplôme (code),"Année 
de  
l'inscription",Version diplôme (code),Diplôme SISE (code),Diplôme SISE (type),Diplôme SISE intitulé 1 (lib.),Diplôme SISE intitulé 2 (lib.),"Diplôme 
intermédiaire
SISE (code)",Diplôme intermédiaire SISE (lib.)
LMAN,2007,42,2220739,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES",ETUDES ANGLOPHONES,,
LMAR08,2008,80,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2009,80,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2010,80,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2011,80,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2008,81,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2009,81,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2010,81,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2011,81,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2008,82,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2009,82,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2010,82,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2011,82,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2006972,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE"
LMAR08,2008,83,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,,
LMAR08,2009,83,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,,
LMAR08,2010,83,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,,
LMAR08,2011,83,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,,
LMCO,2007,41,2200337,MASTER (LMD),"LETTRES, LANGUES, ARTS : COMMUNICATION ET CULTURE",,2004228,"LETTRES, LANGUES, ARTS : INFORMATION, COMMUNICATION ET CULTURE"
LMCO,2007,42,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
LMCO,2007,43,2211178,MASTER (LMD),"LETTRES, LANGUES, ARTS  : INFORMATION ET COMMUNICATION","COMMUNICATIONS ET CULTURES ORGANISATIONNELLES, STRATEGIES D'IMAGES (COSI)",,
LMCO,2007,44,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
LMCO,2007,45,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
LMCO,2007,46,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
LMCO08,2008,80,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
LMCO08,2009,80,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
LMCO08,2010,80,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
LMCO08,2011,80,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
LMCO08,2009,81,,,,,,
LMCO08,2008,83,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
LMCO08,2009,83,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
LMCO08,2010,83,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
LMCO08,2011,83,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
LMCO08,2008,84,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
LMCO08,2009,84,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
LMCO08,2010,84,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
LMCO08,2011,84,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
LMCO08,2008,85,2211178,MASTER (LMD),"LETTRES, LANGUES, ARTS  : INFORMATION ET COMMUNICATION","COMMUNICATIONS ET CULTURES ORGANISATIONNELLES, STRATEGIES D'IMAGES (COSI)",,
LMCO08,2008,86,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
LMCO08,2009,86,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
LMCO08,2010,86,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
LMCO08,2011,86,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
LMCO08,2008,87,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
LMCO08,2009,87,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
LMCO08,2010,87,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
LMCO08,2011,87,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
LMDA,2007,41,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,2004237,"LETTRES, LANGUES, ARTS : THEORIES ET PRATIQUES DES ARTS"
LMDA,2007,42,2220736,MASTER (LMD),"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)",,,
LMES,2007,41,2220741,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES","LANGUE, LITTERATURE, CIVILISATION ESPAGNOLES",2004229,"LETTRES, LANGUES, ARTS : LANGUES (langues & litt etrangères)"
LMES,2007,42,2220741,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES","LANGUE, LITTERATURE, CIVILISATION ESPAGNOLES",,
LMET08,2008,80,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2004691,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE
LMET08,2009,80,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2004691,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE
LMET08,2010,80,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2004691,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE
LMET08,2011,80,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2004691,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE
LMET08,2008,81,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2009,81,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2010,81,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2011,81,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2008,82,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2009,82,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2010,82,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMET08,2011,82,2214889,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE  ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",PATRIMOINES,,
LMFL08,2008,80,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",2004239,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURE ETRANGERES"
LMFL08,2009,80,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",2004239,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURE ETRANGERES"
LMFL08,2010,80,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",2004239,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURE ETRANGERES"
LMFL08,2011,80,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",2004239,"ARTS, LETTRES, LANGUES : LANGUES ET CULTURE ETRANGERES"
LMFL08,2008,81,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2009,81,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2010,81,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2011,81,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2008,82,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2009,82,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2010,82,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFL08,2011,82,2201859,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM, DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE, SECONDE ET MATERNELLE",,
LMFLA,2007,41,2211174,MASTER (LMD),"LETTRES, LANGUES, ARTS   : LETTRES",FRANCAIS LANGUE ETRANGERE SECONDAIRE,2004234,"LETTRES, LANGUES, ARTS : LANGUES (F.L.E.)"
LMFLA,2007,42,2211174,MASTER (LMD),"LETTRES, LANGUES, ARTS   : LETTRES",FRANCAIS LANGUE ETRANGERE SECONDAIRE,,
LMFLB,2007,41,2211179,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES",FRANCAIS LANGUE ETRANGERE SECONDE,2004231,"LETTRES, LANGUES, ARTS : LANGUES (FLE)"
LMFLB,2007,42,2211179,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES",FRANCAIS LANGUE ETRANGERE SECONDE,,
LMHI08,2010,80,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHI08,2011,80,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHI08,2010,81,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,2007348,"SCIENCES HUMAINES ET SOCIALES : MONDES ANCIENS ET  MEDIEVAUX, TERRITOIRE ET ENVIRONNEMENT"
LMHI08,2011,81,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,2007348,"SCIENCES HUMAINES ET SOCIALES : MONDES ANCIENS ET  MEDIEVAUX, TERRITOIRE ET ENVIRONNEMENT"
LMHI08,2010,82,2225377,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHI08,2011,82,2225377,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHI08,2010,83,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,
LMHI08,2011,83,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,
LMHI08,2010,84,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,,
LMHI08,2011,84,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,,
LMHI08,2010,85,2225377,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,,
LMHI08,2011,85,2225377,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,,
LMHIM,2007,41,2200410,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,2004374,SCIENCES DE L'HOMME ET DE LASOCIETE : HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE
LMHIM,2007,42,2221033,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,
LMHIM,2007,43,2211460,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,REHABILITATION ET SAUVEGARDE DU PATRIMOINE ARCHITECTURAL,,
LMHIM08,2008,80,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHIM08,2009,80,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHIM08,2010,80,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
LMHIM08,2008,81,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,,
LMHIM08,2009,81,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,,
LMHIM08,2010,81,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,,
LMHIM08,2011,81,2224829,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,PATRIMOINES,,
LMHIP,2007,41,2200419,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,,2004377,SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX
LMHIP,2007,42,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",,
LMHIP08,2008,80,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",2004377,SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX
LMHIP08,2009,80,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",2004377,SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX
LMHIP08,2010,80,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",2004377,SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX
LMHIP08,2008,81,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",,
LMHIP08,2009,81,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",,
LMHIP08,2010,81,2221042,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES DES MONDES PREHISTORIQUES ANTIQUES ET MEDIEVAUX,"SCIENCE DES MONDES PREHISTORIQUES, ANTIQUES ET MEDIEVAUX",,
LMIT,2007,41,2220742,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES","LANGUE, LITTERATURE, CIVILISATION ITALIENNES",2004229,"LETTRES, LANGUES, ARTS : LANGUES (langues & litt etrangères)"
LMIT,2007,42,2220742,MASTER (LMD),"LETTRES, LANGUES, ARTS : LANGUES","LANGUE, LITTERATURE, CIVILISATION ITALIENNES",,
LMLA,2007,42,2211180,MASTER (LMD),"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)","TRADUCTION, SOUS-TITRAGE, DOUBLAGE",,
LMLA08,2008,80,2225245,MASTER (LMD),"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)",ETUDES GERMANIQUES,2006888,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES"
