ID,Intitulé emploi,ROME lib niveau 1,ROME lib niveau 2,Code ROME,Intitulé ROME,,,,,Type de contrat,Niveau emploi,Type employeur,Secteur d'activité,Effectifs de l'entreprise,,,Salaire,,Mode d'obtention,Durée d'accès,Année_diplôme,Code diplôme,Composante,Mention,Spécialité,,Filière_diplôme
4533,Ingénieur géotechnicien,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Construction,de 10 à 49,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4534,ingénieur géotechnicien,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Construction,de 3 à 9,,,2000 à 2500,,"Réseau de relations personnelles, familiales...",1 à 3 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4535,Ingénieur d'étude,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",7 à 11 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4536,Ingénieur en sites et sols pollués,INDUSTRIE,Hygiène Sécurité Environnement -HSE- industriels,H1302,Management et ingénierie Hygiène Sécurité Environnement-HSE- industriels,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 200 à 499,,,2000 à 2500,,"Réponse à une offre d'emploi (Internet, courrier)",4 à 6 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4537,Responsable d'études,SUPPORT À L'ENTREPRISE,Organisation et études,M1403,Études et prospectives socio-économiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 3 à 9,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",Accès direct,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4538,Ingénieur géotechnique,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Construction,500 et plus,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4539,Chargé d'affaires,INDUSTRIE,Affaires et support technique client,H1102,Management et ingénierie d'affaires,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",1 à 3 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4540,Ingénieur d'études en géophysique,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1500 à 2000,,Candidature spontanée,4 à 6 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4541,chargé d'affaires en géotechnique,INDUSTRIE,Affaires et support technique client,H1102,Management et ingénierie d'affaires,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Construction,de 10 à 49,,,2500 et plus,,"Réseau de relations personnelles, familiales...",Accès direct,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4542,ingénieur de projet géotechnique,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 200 à 499,,,,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4543,,,,,,,,,,,,,,,,,,,,,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4544,ingénieur en conception géotechnique,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",7 à 11 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4545,Ingénieur en géo technique,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4546,ingénieur géotechnicien,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1105,Études géologiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,2000 à 2500,,"Réponse à une offre d'emploi (Internet, courrier)",4 à 6 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4547,Chargée d'étude VRD,INDUSTRIE,"Conception, recherche, études et développement",H1206,"Management et ingénierie études, recherche et développement",,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,,,À la suite d'un stage ou d'un contrat en alternance,Accès direct,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4548,Ingénieur Travaux,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conduite et encadrement de chantier - travaux,F1201,Conduite de travaux du BTP,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 3 à 9,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,Accès direct,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4549,Commerciale photovoltaïque,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1403,Relation commerciale auprès de particuliers,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,2000 à 2500,,Candidature spontanée,7 à 11 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4550,gérant SARL,SUPPORT À L'ENTREPRISE,Direction d'entreprise,M1302,Direction de petite ou moyenne entreprise,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur",Niveau ingénieur ou cadre,Vous-même,"Commerce, transports, hébergement et restauration",de 1 à 2,,,,,Création ou reprise d'entreprise,4 à 6 mois,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4551,technicienne supérieure service pubblic assainisse,SANTE,Professionnels médico-techniques,J1302,Analyses médicales,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,La fonction publique,Administration publique,de 10 à 49,,,1000 à 1500,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",12 mois et plus,2010,2215135,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",AMENAGEMENT ET GEOINGENIERIE,,
4552,ingénieur qualité environnementale,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,Niveau ingénieur ou cadre,Un organisme à but non lucratif ou une association,Autres activités de service,de 10 à 49,,,1500 à 2000,,Candidature spontanée,Accès direct,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4553,Ingénieur de projet en environnement,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,500 et plus,,,2500 et plus,,"Réseau de relations personnelles, familiales...",Accès direct,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4554,Correspondant territorial sécurité incendie,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise publique,"Commerce, transports, hébergement et restauration",500 et plus,,,2000 à 2500,,À la suite d'un stage ou d'un contrat en alternance,Accès direct,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4555,AMBASSADEUR DU TRI,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Propreté et environnement urbain,K2303,Nettoyage des espaces urbains ,,,,,CDD,Niveau technicien ou agent de maîtrise,La fonction publique,Administration publique,de 3 à 9,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",Accès direct,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4556,ASSISTANTE QUALITE,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDD,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,1500 à 2000,,"Réponse à une offre d'emploi (Internet, courrier)",4 à 6 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4557,Chargée de projet en mobilité durable,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,Un organisme à but non lucratif ou une association,Santé humaine et action sociale,de 3 à 9,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,7 à 11 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4558,chef de section,INSTALLATION ET MAINTENANCE,Encadrement,I1102,Management et ingénierie de maintenance industrielle ,,,,,CDD,Niveau ingénieur ou cadre,La fonction publique,Administration publique,de 10 à 49,,,2500 et plus,,"Réponse à une offre d'emploi (Internet, courrier)",1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4559,Chargé d'étude montage ,INDUSTRIE,"Conception, recherche, études et développement",H1206,"Management et ingénierie études, recherche et développement",,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Construction,500 et plus,,,,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4560,Chargé de mission énergie climat,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDD,Niveau ingénieur ou cadre,La fonction publique,Administration publique,500 et plus,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4561,Relai départemental bois énergie,,,,,,,,,CDI,Niveau ingénieur ou cadre,Un organisme à but non lucratif ou une association,"Agriculture, sylviculture et pêche",de 3 à 9,,,,,Candidature spontanée,12 mois et plus,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4562,Ingénieur commercial,INDUSTRIE,"Conception, recherche, études et développement",H1202,Conception et dessin de produits électriques et electronique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,2000 à 2500,,Candidature spontanée,7 à 11 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4563,,,,,,,,,,,,,,,,,,,,,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4564,Attaché d'exploitation,,,,,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,1500 à 2000,,Candidature spontanée,7 à 11 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4565,,,,,,,,,,,,,,,,,,,,,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4566,Ingénieur environnement - sécurité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDD,Niveau technicien ou agent de maîtrise,Une entreprise privée,Construction,de 50 à 199,,,1500 à 2000,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",12 mois et plus,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4567,,,,,,,,,,,,,,,,,,,,,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4568,Responsable cellule industrielle,INDUSTRIE,"Conception, recherche, études et développement",H1206,"Management et ingénierie études, recherche et développement industriel",,,,,Fonctionnaire,Niveau ouvrier ou employé,La fonction publique,Administration publique,500 et plus,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4569,Assistant à Maîtrise d'Ouvrage Environnement,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 10 à 49,,,2500 et plus,,"Réseau de relations personnelles, familiales...",7 à 11 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4570,"Technicien ""Gestion des rejets industriels""",INSTALLATION ET MAINTENANCE,Equipements domestiques et informatique,I1401,Maintenance informatique et bureautique,,,,,CDD,Niveau technicien ou agent de maîtrise,La fonction publique,,de 50 à 199,,,1000 à 1500,,"Réseau de relations personnelles, familiales...",7 à 11 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4571,chargée de mission compostage et prévention,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDD,Niveau ingénieur ou cadre,La fonction publique,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,,,À la suite d'un stage ou d'un contrat en alternance,,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4572,Agent de Développement de la Politique Montagne,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDD,Niveau ingénieur ou cadre,La fonction publique,Administration publique,de 10 à 49,,,1500 à 2000,,Candidature spontanée,1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4573,Éducatrice environnement,,,,,,,,,CDD,Niveau technicien ou agent de maîtrise,Un organisme à but non lucratif ou une association,Autres activités de service,de 3 à 9,,,,,Candidature spontanée,12 mois et plus,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4574,Chargée de mission développement durable,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,La fonction publique,Administration publique,500 et plus,,,1500 à 2000,,"Réponse à une offre d'emploi (Internet, courrier)",1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4575,Officier dans l'Armée de l'Air,TRANSPORT ET LOGISTIQUE,Personnel sédentaire du transport aérien,N2205,Direction d'escale et exploitation aéroportuaire,,,,,CDD,Niveau ingénieur ou cadre,La fonction publique,Administration publique,500 et plus,,,1000 à 1500,,"Réponse à une offre d'emploi (Internet, courrier)",12 mois et plus,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4576,,,,,,,,,,,,,,,,,,,,,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4577,Chef de projet Qualité Hygiène et Sécurité,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,La fonction publique,"Commerce, transports, hébergement et restauration",de 50 à 199,,,2500 et plus,,À la suite d'un stage ou d'un contrat en alternance,1 à 3 mois,2010,2215137,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : SCIENCES DE LA TERRE ET DE L'ENVIRONNEMENT",GESTION DE L'ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE,,
4578,technicien supérieur de laboratoire ,INDUSTRIE,Qualité et analyses industrielles,H1503,Intervention technique en laboratoire d'analyse industrielle,,,,,CDD,Niveau technicien ou agent de maîtrise,Une entreprise privée,Santé humaine et action sociale,500 et plus,,,1000 à 1500,,"Réseau de relations personnelles, familiales...",12 mois et plus,2010,2221705,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","CHIMIE DE LA VIE, DE L'ENVIRONNEMENT ET DES MATERIAUX POUR UN DEVELOPPEMENT DURABLE",,
4579,Doctorant,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Recherche,K2401,Recherche en sciences de l'homme et de la société,,,,,CDD,,La fonction publique,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,1500 à 2000,,À la suite d'un stage ou d'un contrat en alternance,12 mois et plus,2010,2221705,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","CHIMIE DE LA VIE, DE L'ENVIRONNEMENT ET DES MATERIAUX POUR UN DEVELOPPEMENT DURABLE",,
4580,Professeur physique chimie,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau ingénieur ou cadre,La fonction publique,Enseignement,de 50 à 199,,,1500 à 2000,,Réussite d'un concours administratif,12 mois et plus,2010,2221705,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","CHIMIE DE LA VIE, DE L'ENVIRONNEMENT ET DES MATERIAUX POUR UN DEVELOPPEMENT DURABLE",,
4581,professeur de mathématiques,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,La fonction publique,Enseignement,de 200 à 499,,,2000 à 2500,,Réussite d'un concours administratif,1 à 3 mois,2010,2221706,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : MATHEMATIQUES",MATHEMATIQUES,,
4582,Phd ,,,,,,,,,,,La fonction publique,,,,,1000 à 1500,,,1 à 3 mois,2010,2221706,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : MATHEMATIQUES",MATHEMATIQUES,,
4583,Doctorante sous contrat,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Recherche,K2401,Recherche en sciences de l'homme et de la société,,,,,CDD,,La fonction publique,"Activités spécialisées, scientifiques et techniques",de 10 à 49,,,,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",4 à 6 mois,2010,2221706,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : MATHEMATIQUES",MATHEMATIQUES,,
4584,3eme annee de these...,,,,,,,,,CDD,,La fonction publique,"Activités spécialisées, scientifiques et techniques",500 et plus,,,1500 à 2000,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",Accès direct,2010,2221706,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : MATHEMATIQUES",MATHEMATIQUES,,
4585,Professeur agrégé stagiaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau ingénieur ou cadre,La fonction publique,Enseignement,de 50 à 199,,,,,Réussite d'un concours administratif,12 mois et plus,2010,2221706,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : MATHEMATIQUES",MATHEMATIQUES,,
4586,,,,,,,,,,,,,,,,,,,,,2010,2221707,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE MATHEMATIQUE ET ECONOMIE APPLIQUEE","INGENIERIE STOCHASTIQUE, STATISTIQUE ET METHODES QUANTITATIVES EN ECONOMIE ET FINANCE",,
4587,Consultant en qualification ,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2000 à 2500,,Candidature spontanée,7 à 11 mois,2010,2221707,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE MATHEMATIQUE ET ECONOMIE APPLIQUEE","INGENIERIE STOCHASTIQUE, STATISTIQUE ET METHODES QUANTITATIVES EN ECONOMIE ET FINANCE",,
4588,consultante en qualification,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,,,,2000 à 2500,,"Réseau de relations personnelles, familiales...",12 mois et plus,2010,2221707,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE MATHEMATIQUE ET ECONOMIE APPLIQUEE","INGENIERIE STOCHASTIQUE, STATISTIQUE ET METHODES QUANTITATIVES EN ECONOMIE ET FINANCE",,
4589,Responsable de Projet en Analyse Marketing,SUPPORT À L'ENTREPRISE,"Stratégie commerciale, marketing et supervision des ventes",M1707,Stratégie commerciale,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,2500 et plus,,"Réseau de relations personnelles, familiales...",1 à 3 mois,2010,2221707,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE MATHEMATIQUE ET ECONOMIE APPLIQUEE","INGENIERIE STOCHASTIQUE, STATISTIQUE ET METHODES QUANTITATIVES EN ECONOMIE ET FINANCE",,
