ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,,,,,,,,,,,,,,,,,,,,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,Collaborateur comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,Collaborateur en cabinet d'expertise comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1202,Audit et contrôle comptables et financiers,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 3 à 9,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,Collaborateur dans un cabinet d'expert comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1202,Audit et contrôle comptables et financiers,,,,,CDI,"Employé de bureau, de commerce, personnel de service","Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Activités de services administratifs et de soutien,de 10 à 49,,,,,Candidature spontanée,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,Collaborateur comptable - Chargée de clientèle,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités de services administratifs et de soutien,de 3 à 9,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Assistante de vente,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 200 à 499,,,Moins de 1000,,Candidature spontanée,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,assistante comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Activités de services administratifs et de soutien,de 3 à 9,,,1000 à 1500,,Candidature spontanée,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,Chargé d'accueil,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1601,Accueil et renseignements,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,Candidature spontanée,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003854,IUT,MANAGEMENT DES ORGANISATIONS,COLLABORATEUR EN CABINET D EXPERTISE COMPTABLE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Responsable d agence d une structure de services à la personne,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1201,Action sociale,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Autres activités de service,de 200 à 499,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Responsable qualité et sécurité des soins,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Un organisme à but non lucratif ou une association,Santé humaine et action sociale,de 200 à 499,,,1500 à 2000,,"Pôle Emploi, APEC, AFIJ, mission locale",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,qualiticien,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)",,Une entreprise privée,Santé humaine et action sociale,,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Attachée de Direction EHPAD à Toulouse,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1604,Assistanat de direction,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Santé humaine et action sociale,de 10 à 49,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Assistante de direction,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1604,Assistanat de direction,,,,,CDI,"Employé de bureau, de commerce, personnel de service","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Santé humaine et action sociale,500 et plus,,,1000 à 1500,,"Pôle Emploi, APEC, AFIJ, mission locale",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Responsable de residence sociale groupe adoma,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Santé humaine et action sociale,de 1 à 2,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Responsable qualité de plusieurs établissements d'hébergement pour personnes âgées dépendantes,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)",Personnel de catégorie A de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,de 10 à 49,,,1000 à 1500,,Candidature spontanée,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Vendeuse,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1503,Management/gestion de rayon produits non alimentaires,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,Moins de 1000,,Candidature spontanée,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Assistante manager import,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,1000 à 1500,,Candidature spontanée,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,conseiller téléphonique,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1408,Téléconseil et télévente,,,,,Intérimaire,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,Information et communication,de 50 à 199,,,1000 à 1500,,"Pôle Emploi, APEC, AFIJ, mission locale",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Vendeuse,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1503,Management/gestion de rayon produits non alimentaires,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 1 à 2,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Responsable d'agence dans une société de services à la personne,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1201,Action sociale,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Santé humaine et action sociale,de 10 à 49,,,1500 à 2000,,Réseau de relations professionnelles,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,directrice d association,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Un organisme à but non lucratif ou une association,Santé humaine et action sociale,de 10 à 49,,,2500 et plus,,"Pôle Emploi, APEC, AFIJ, mission locale",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Agent d'enquête sociale,SUPPORT À L'ENTREPRISE,Organisation et études,M1401,Conduite d'enquêtes ,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie C de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,de 50 à 199,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,Directrice,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Santé humaine et action sociale,de 50 à 199,,,,,Candidature spontanée,,2011,2003294,IUT,MANAGEMENT DES ORGANISATIONS,GESTION DES ETABLISSEMENTS SANITAIRES ET SOCIAUX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Ingénieur sécurité,INDUSTRIE,Hygiène Sécurité Environnement -HSE- industriels,H1302,Management et ingénierie Hygiène Sécurité Environnement-HSE- industriels,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 50 à 199,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Administrateur système et réseaux informatiques,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Santé humaine et action sociale,500 et plus,,,1500 à 2000,,"Réseau de relations personnelles, familiales...",,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Technicien informatique,INSTALLATION ET MAINTENANCE,Equipements domestiques et informatique,I1401,Maintenance informatique et bureautique,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)",Personnel de catégorie C de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,500 et plus,,,1000 à 1500,,"Réponse à une offre d emploi (Internet, courrier)",,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Administrateur System & réseau,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Autres activités de service,500 et plus,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Administrateur systèmes et réseaux,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Analyste programmeur,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,1500 à 2000,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Ingénieur réseau et télécomm.,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1804,Études et développement de réseaux de télécoms,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Autres activités de service,de 10 à 49,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,ait assistant manager,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1604,Assistanat de direction,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Commerce, transports, hébergement et restauration",de 200 à 499,,,1000 à 1500,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,administrateur systèmes et réseaux,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Administrateur Réseau & TOIP,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Activités financières et d'assurance,500 et plus,,,1500 à 2000,,"Réseau de relations tissé durant vos études (enseignants, associations d’étudiants …)",,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,DBA SQL SERVER & Mysql,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,,,,2000 à 2500,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,technicien réseau,INSTALLATION ET MAINTENANCE,Equipements domestiques et informatique,I1401,Maintenance informatique et bureautique,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Information et communication,de 10 à 49,,,1500 à 2000,,Intérim,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Ingénieur et cadre en informatique,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Enseignant physique-chimie,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire (y compris fonctionnaire stagiaire ou élève fonctionnaire),Personnel de catégorie A de la fonction publique,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 50 à 199,,,2000 à 2500,,Réussite d un concours administratif,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,vendeur grande surface,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Grande distribution,D1503,Management/gestion de rayon produits non alimentaires,,,,,CDI,"Employé de bureau, de commerce, personnel de service",Une entreprise privée,"Commerce, transports, hébergement et restauration",500 et plus,,,1000 à 1500,,Intérim,,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,Administrateur système,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDI,"Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,"Activités spécialisées, scientifiques et techniques",de 3 à 9,,,1500 à 2000,,"Dépôt de CV sur Internet (CV thèque, site personnel, réseaux sociaux)",,2011,2003322,IUT,RESEAUX ET TELECOMMUNICATIONS,INTEGRATION-ADMINISTRATION DES RESEAUX INFORMATIQUES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,Réalisateur journaliste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"Intermittent du spectacle, pigiste","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,500 et plus,,,2000 à 2500,,À la suite d un stage ou d un contrat en alternance,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,Pigiste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"Intermittent du spectacle, pigiste","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,de 10 à 49,,,2500 et plus,,À la suite d un stage ou d un contrat en alternance,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,Journaliste rédacteur (coordination d'écriture),"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"Intermittent du spectacle, pigiste","Emploi de niveau intermédiaire : technicien, agent de maîtrise, maîtrise administrative et commerciale, VRP",Une entreprise privée,Information et communication,de 50 à 199,,,2500 et plus,,"Réseau de relations personnelles, familiales...",,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,Journaliste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,CDI,"Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,de 10 à 49,,,1000 à 1500,,Candidature spontanée,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,Journaliste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"Intermittent du spectacle, pigiste","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Une entreprise privée,Information et communication,de 10 à 49,,,2000 à 2500,,Candidature spontanée,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,Journaliste rédactrice,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"CDD (hors contrats spécifiques au doctorat et y compris saisonnier, contractuel de la fonction publique, ATER, assistant(e) d'éducation)","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures","Une entreprise publique (La Poste, SNCF, EDF, France Televisions ...)",Information et communication,de 50 à 199,,,1500 à 2000,,À la suite d un stage ou d un contrat en alternance,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
,Journaliste Reporter d'Images - vidéaste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,"Profession libérale, indépendant, chef d'entreprise, auto-entrepreneur","Ingénieur, cadre, professions libérales, professions intellectuelles supérieures",Vous-même,Information et communication,de 3 à 9,,,Moins de 1000,,Réseau de relations professionnelles,,2011,2005136,IUT Cannes,ACTIVITES ET TECHNIQUES DE COMMUNICATION,JOURNALISME AUDIOVISUEL : PRODUCTION DE MAGAZINES TELEVISES,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,
